
Colorado (PST) SNOTEL Site Echo Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu May 26 21:56:00 GMT-08:00 2016. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
936,2016-04-26,,    10.6,    16.6,    -0.7,    10.3,    -3.1,     3.5,      34,
936,2016-04-27,,    10.7,    16.7,    -3.9,     1.7,    -5.8,    -2.7,      34,
936,2016-04-28,,    10.8,    16.8,    -4.2,     4.3,    -5.3,    -1.7,      36,
936,2016-04-29,,    10.9,    17.0,    -4.8,    -2.7,    -5.1,    -4.3,      37,
936,2016-04-30,,    11.4,    17.5,    -6.0,    -2.4,    -6.0,    -4.6,      43,
936,2016-05-01,,    11.8,    18.0,    -7.4,    -3.1,    -7.5,    -5.6,      48,
936,2016-05-02,,    11.9,    18.2,   -10.3,    -4.6,   -10.3,    -6.4,      49,
936,2016-05-03,,    11.9,    18.3,    -0.6,     6.1,   -11.5,    -1.3,      43,
936,2016-05-04,,    11.8,    18.3,    -2.0,     8.9,    -5.9,     1.7,      40,
936,2016-05-05,,    11.6,    18.3,    -99.9,   13.8,    -2.4,     5.5,      38,
936,2016-05-06,,    11.4,    18.3,     6.2,    15.5,     1.8,     8.1,      36,
936,2016-05-07,,    11.2,    18.3,     4.2,    14.3,     2.2,     7.7,      34,
936,2016-05-08,,    11.4,    18.4,    -1.5,     4.5,    -2.0,     1.0,      35,
936,2016-05-09,,    11.3,    18.4,    -0.5,     7.6,    -2.1,     1.5,      35,
936,2016-05-10,,    11.2,    18.6,     3.4,     8.9,    -2.1,     3.0,      34,
936,2016-05-11,,    11.2,    18.6,    -0.7,     9.1,    -0.9,     3.2,      33,
936,2016-05-12,,    11.1,    18.6,    -0.7,     6.8,    -3.5,     1.2,      33,
936,2016-05-13,,    10.7,    18.7,     4.1,    11.5,    -1.5,     4.8,      31,
936,2016-05-14,,    10.3,    18.7,    -0.3,    13.6,    -0.3,     6.3,      30,
936,2016-05-15,,     9.9,    18.7,     1.2,    15.0,    -1.4,     5.9,      29,
936,2016-05-16,,     9.7,    18.7,     1.5,     9.5,     0.7,     4.0,      26,
936,2016-05-17,,    10.1,    19.2,    -2.8,     3.0,    -2.8,     0.2,      34,
936,2016-05-18,,    10.3,    19.4,    -1.7,     1.0,    -3.3,    -1.4,      33,
936,2016-05-19,,    10.3,    19.4,     0.4,     6.5,    -3.6,     1.3,      32,
936,2016-05-20,,    10.2,    19.4,     2.4,    10.7,    -0.8,     3.9,      30,
936,2016-05-21,,     9.9,    19.5,     6.1,    13.1,     2.4,     8.2,      28,
936,2016-05-22,,     9.3,    19.5,     8.1,    15.5,     1.9,     9.5,      26,
936,2016-05-23,,     8.8,    19.5,     0.2,    13.9,     0.2,     7.2,      25,
936,2016-05-24,,     8.8,    19.4,    -0.4,    10.5,    -1.4,     3.3,      24,
936,2016-05-25,,     8.4,    19.5,     4.0,    10.1,    -1.4,     4.9,      24,
936,2016-05-26,,     8.0,    19.4,    -0.3,    11.7,    -0.4,     6.1,      23,




